1|32.66133
4|32.896
3|33.408
4|33.74933
3|34.15467
2|34.432
1|34.90133
2|35.84
1|36.544
3|36.864
2|37.29067
3|37.58933
2|38.03733
1|38.272
2|40.49067
1|40.66133
2|41.13066
4|41.38667
3|42.048
4|43.05067
3|44.01067
2|44.97066
1|45.99467
2|46.93333
1|48.14933
3|48.42667
2|48.896
3|49.17333
3|49.728
2|50.816
4|51.37067
3|51.84
2|52.75733
1|53.696
2|54.74133
2|56.10667
3|56.64
4|56.91733
3|57.536
3|58.51733
2|59.072
4|59.60534
3|60.544
2|61.46133
1|62.37867
2|63.70133
4|63.91467
3|64.384
4|64.66133
3|65.10934
3|65.344
2|67.584
3|67.84
2|68.20267
3|68.48
2|69.248
1|69.71733
2|70.144
1|70.42133
3|71.57333
4|72.10667
4|72.34133
3|73.00267
4|73.64267
3|74.06934
3|74.28267
3|75.648
3|76.01067
3|76.50134
3|76.97066
3|77.46133
3|77.90933
1|79.104
4|79.36
3|79.63734
2|79.872
3|80.128
4|80.384
3|80.85333
2|81.06667
1|81.6
4|82.112
3|82.34666
2|83.73333
1|84.65067
2|85.632
1|86.912
4|87.12534
3|87.36
2|87.616
3|87.85067
4|88.10667
3|88.53333
2|88.85333
1|89.30133
4|89.728
3|90.048
2|90.79467
4|91.02934
3|91.328
2|91.66933
4|91.92533
3|92.352
2|92.65067
2|93.09866
1|94.592
4|94.848
3|95.08266
2|95.36
1|95.59467
4|95.85067
3|96.32
2|96.576
1|97.06667
4|97.536
3|97.77067
2|99.15733
1|100.1173
2|101.0773
1|102.336
4|102.848
3|103.0613
2|103.3173
1|103.552
4|104.0213
3|104.2987
2|104.7893
1|105.2373
4|105.4933
3|106.2613
2|106.496
4|106.816
3|107.136
2|107.4773
4|107.8827
3|108.2027
2|108.5867
3|110.0373
3|110.3147
2|110.784
3|111.9787
3|112.256
2|112.7467
4|113.7493
2|113.984
4|114.7307
2|115.008
4|115.6907
2|115.9467
1|116.672
2|116.864
3|117.824
3|118.08
2|118.5493
3|119.744
3|120.0427
2|120.512
